"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Lim Li Wei",12,408,2,6,"N",0,"Lose","N","Hubert Wee",543,-135,1,1,0,1,0,0,"N",0,31,3,1,75
"Lee Guan Hui",12,394,14,7,"N",0,"Lose","Y","Jeremy Khoo",433,-39,1,1,0,0,1,1,"N",3,18,4,2,157
"J Jeyaseelan",12,360,1,8,"N",0,"Lose","N","Cheah Siu Hean",448,-88,1,0,1,0,0,1,"N",0,2,3,2,140
"Andy Kurnia",12,365,16,9,"N",0,"Lose","Y","Leon Tan",433,-68,0,1,1,0,0,4,"N",0,8,6,1,80
"Yong Jian Rong",12,287,3,10,"N",0,"Lose","N","Marlon Prudencio",466,-179,0,0,0,0,0,3,"N",14,15,3,0,0
"Shim Yen Nee",12,390,13,11,"N",0,"Lose","Y","Lee Cheong Cheng",407,-17,2,1,1,0,0,2,"N",3,53,6,1,64
"Gabriel Cheang",12,412,5,12,"N",0,"Lose","N","Michael Tang",462,-50,0,0,1,0,0,2,"N",6,53,3,2,140
"Lee Cheong Cheng",12,407,11,13,"N",1,"Win","N","Shim Yen Nee",390,17,0,0,0,1,1,2,"N",2,22,4,2,146
"Jeremy Khoo",12,433,7,14,"N",1,"Win","N","Lee Guan Hui",394,39,1,0,1,1,0,3,"N",8,8,6,2,155
"Tay Jing En",12,383,4,15,"N",1,"Win","N","Tony Sim",358,25,1,1,0,1,0,2,"N",4,44,5,1,67
"Leon Tan",12,433,9,16,"N",1,"Win","N","Andy Kurnia",365,68,2,0,0,1,1,0,"N",11,58,4,2,152
"Cheah Siu Hean",13,498,6,1,"N",1,"Win","N","Lim Li Wei",384,114,1,1,1,1,0,2,"N",15,52,6,3,237
"Hubert Wee",13,465,4,2,"N",1,"Win","N","Tony Sim",434,31,1,0,0,1,1,2,"N",0,34,5,4,299
